Category,Title,Ingredients,Steps,Loves,URL
tahu,Martabak tahu pedas kulit lumpia,12 lembar kulit lumpia--4 buah tahu putih--2 batang daun bawang (iris halus)--1 batang daun seledri (iris halus)--3 btr telur (sy pakai 2 aja krn agak besar)--1 sdm terigu + 2 sdm air (sbgai lem kulit lumpia)--Sckpnya minyak utk menggoreng--Bumbu halus :--3 siung bawang putih--1/2 bks lada/merica bubuk--Sckpnya garam gula dan kaldu bubuk--3-4 cabe merah kriting iris serong--2 buah wortel agak kecil parut kasar--,"Haluskan tahu putih campur semua bahan kecuali kulit lumpia (icip rasa)--Ambil 1 lbr kulit lumpia beri 1 sdm adonan tahu ditengahnya lalu lipat (seperti amplop) dgn rapi, lalu beri lem disetiap sisisnya spy tdk terbuka pd saat digoreng, lakukan hingga habis--Panaskan minyak diatas wajan dgn api sedang cenderung kecil, goreng martabak sampai kecoklatan angkat dan tiriskan (abaikan wajannya yg sdh mulai jelek ya 😁)--Martabak tahu pedas kulit lumpia siap dihidangkan--Selamat mencoba... 😘😘--",7,/id/resep/4472701-martabak-tahu-pedas-kulit-lumpia
tahu,Batagor (Bakso Tahu Goreng) ala rumahan anti gagal,Bahan batagor--3 kotak ukuran kecil tahu kuning--5 sdm tepung terigu--1/2 sdm mentega (supaya kriuk2)--2 buah bawang putih--Garam (secukupnya)--Merica (secukupnya)--Air putih matang (secukupnya)--Bahan saus--2 sdm saus cabe (saya pake indofo**)--1/2 siung bawang putih--2 cabe rawit (sesuai selera ya karna suami saya gak suka pedas)--Kecap (secukupnya)--Air matang (secukupnya)--,"Haluskan tahu kuning, bawang putih, garam merica (hingga lumat)--Tambahkan mentega, tepung terigu kedalam adonan tahu dan beri air hingga lembek tapi jangan sampai encer ya. Koreksi rasa--Siapkan wajan dengan minyak, goreng adonan yang telah dibuat. (Saya pake 2 sendok buat bikin kecil2). Angkat dan tata di mangkuk.--Haluskan bawang putih, cabai rawit--Tumis bawang putih dan cabai yang sudah di haluskan hingga harus.--Masukkan saus, kecap, garam. Koreksi rasa--Batagor dan sausnya siap untuk dinikmati 🤤--",7,/id/resep/4473611-batagor-bakso-tahu-goreng-ala-rumahan-anti-gagal
tahu,Sayur Sutace (sop tahu ceker),1/2 kg ceker ayam--4 buah wortel ukuran sedang--6 buah wortel--sesuai selera Kol--sesuai selera Daun bawang--sesuai selera Seledri--4 buah tahu kuning--Garam--Gula putih--Penyedap rasa (ma**ko)--Lada bubuk--Jeruk nipis--2 siung Bawang Putih--2 siung Bawang merah--,"Bersihkan ceker, lau rebut selama 3-4 menit pakai jeruk nipis biar gk terlalu bau--Tiriskan ceker--Potong2 tahu, lalu goreng set mateng, tiriskan--Potong2 sayurr, cuci hingga bersihh.--Haluskan bawang merah dan bawang putih.--Panaskan sedikit minyak masukan bawang yg sudah di haluskan, oseng2 hingga tercium wangi--Masukan sayurr, tampahkan air, garam, gula putih dan penyedap rasa secukupnya.--Tunggu hingga sayur hampir matang, masukan ceker, dan tahu.--Tutup wajan hingga kaldu meresap kedalam ceker dan tahu.--Setelah matang, tuang ke mangkok, siap di santappp 😊😊--",5,/id/resep/4473647-sayur-sutace-sop-tahu-ceker
tahu,Sapo Tahu Ayam ala Mey👌,"1 bks Tofu--5-10 bh filet ayam--1 bh wortel, iris tipis menyerong--5 bh jagung muda, iris tipis menyerong--1/2 kuntum bunga kol, pisahkan jd kuntum2 kecil--5 lbr pakcoy, iris 4-5 bag/lbr--2 lbr daun kol, iris2--2 sdm saos tiram--3 sdm kecap asin--1-2 sdm Royco ayam--1,5 gls air--Pengental : 1/2 gls air + 1 sdm sagu--Bumbu halus :--7 bh bamer--4 bh baput--1 sdt lada halus--Minyak utk menumis--","Iris tofu, jgn terlalu tipis, nanti hancur, goreng..,sisihkan--Siapkan sayur2annya, cuci, iris2, sisihkan (ups: pakcoynya hampir kelupaan)--Tumis bumbu halus, dgn api kecil, hingga matang, masukkan filet ayam, aduk2 beri air, masak sampai mendidih--Masukkan irisan wortel, jagung & brokoli, aduk tutup, biarkan sayur2an lunak & matang--Beri saos tiram, kecap asin & Royco, aduk2--Masukkan pakcoy & kol, aduk2, terakhir masukkan pengental, aduk rata, koreksi rasa--Sayuran pindahkan kepiring/mangkok, tata tofu goreng diatasnya, siram dgn saosnya--Sajikan--Ini foto sapo tahu yg pertama sekali buat pagi tadi #dibuangsayang--",4,/id/resep/4473233-sapo-tahu-ayam-ala-mey%F0%9F%91%8C
tahu,TTKK (tahu telur timun tauge kuah kacang),1 butir telur--1 tahu--secukupnya Timun--secukupnya Tauge--Kuah kacang :--Kacang tanah disangrai--Bawang merah--Bawang putih--Cabe kering--Cabe rawit--Gula merah--,"Goreng tahu dan telur, rebus tauge.--Potong2 timun sesuai selera--Tata telur pada piring, potong tahu taruh diatas telur tadi lalu tauge dan timun lalu airam kuah kacang--TTKK siap disantap--",0,/id/resep/4473231-ttkk-tahu-telur-timun-tauge-kuah-kacang
tahu,Perkedel Tahu Wortel Sederhana,1 bks tahu putih--1 batang wortel (potong kecil-kecil)--1/2 bks Masako ayam--secukupnya Lada bubuk--1 btr telur ayam (kocok)--2 sdm terigu--Minyak untuk menggoreng--,"Hancurkan tahu dalam baskom--Campurkan wortel yang telah di potong-potong, lada bubuk, masako, telur dan terigu--Uleni hingga semua tercampur--Ambil menggunakan sendok makan, masukkan ke dalam minyak panas, goreng hingga berwarna kecoklatan.--",4,/id/resep/4473213-perkedel-tahu-wortel-sederhana
tahu,Kari tahu telur kentang,"4 butir telur rebus--4 buah tahu, potong 8 bagian lalu goreng berkulit--2 buah kentang, potong 4 bagian--1 bks santan kara ukuran kecil--1000 ml air / kaldu--5 buah cengek utuh (tambahan dari saya)--Haluskan :--1 buah cabe merah buang biji--5 siung bawang merah--2 siung bawang putih--1 sdm bumbu kari instant--2 butir kemiri--1/4 sdt ketumbar--1/2 sdt merica bubuk--1/8 sdt pala bubuk--2 ruas jari kunyit--Rempah cemplung--1 batang sereh, geprek--2 cm lengkuas--1 cm jahe--2 lembar daun jeruk--1 lembar daun salam--Secukupnya asam jawa--Garam / kaldu bubuk--Gula pasir--","Tumis bumbu halus dan rempah cemplung hingga harum dan matang--Masukan kentang. Aduk rata--Beri air. Setelah agak mendidih masukan telur, tahu dan rawit utuh--Bumbui garam dan gula pasir--Setelah didih, masukan santan, aduk sesekali--Angkat, sajikan dengan pelengkap--",3,/id/resep/4471788-kari-tahu-telur-kentang
tahu,Sundubu Jjigae (sup tahu pedas ala2 korea),"1 bungkus tahu putih, potong2 besar--1/2 ons toge--1/2 ons kol--1-2 ons sawi putih--1 tangkai daun bawang, iris serong agak tebal--1/2 bulat bawang bombay, iris memanjang--2-3 botol air--2-3 sdm perasan jeruk nipis/limau/lemon--1 telur, kocok lepas--Bumbu halus :--3 cabe merah besar--3 cengek merah (ini pedesnya sedang)--3 bawang merah--1 bawang putih--1 tomat sedang--","Haluskan bumbu (blender).--Tumis bawang bombay sampai harum, lalu masukkan bumbu halus, beri air, tumis sampai bumbu matang--Baru masukkan sayuran dan tahu, perasan jeruk, gula, kaldu ayam, garam, tes rasa.--Kalo udah dirasa pas dan matang baru masukkan kocokan telur, aduk2 sampai telur matang, lalu matikan api. Langsung beri daun bawang atasnya. Selesai.--",7,/id/resep/4472974-sundubu-jjigae-sup-tahu-pedas-ala2-korea
tahu,Nugget Tahu Ekonomis Anti Gagal,"5 buah tahu(1kg an) sy: sekitar 700g--1 butir telur--4 siung bawang putih, haluskan--1/2 bks ladaku--Secukupnya garam(sy: garam di skip)--2 bks royco sapi(sy: 1 bks)--2 buah wortel,kupas kulitnya, lalu parut--1 btg daun bawang, iris halus--Bahan pelapis:--Secukupnya telur, kocok lepas--Secukupnya tepung roti/panir/bread crumb--","Cuci tahu dan tiriskan. Agar saat digoreng tidak rapuh atau nyemek.--Haluskan tahu, lalu beri semua bumbu kecuali bahan pelapis. Aduk rata.(bisa koreksi rasa ketika telur belum ditambahkan, garam bisa disesuaikan karna setiap tahu ada yg asin dan tawar)--Oles cetakan dengan minyak sayur. Masukkan adonan tahu lalu kukus selama 35 menit atau sampai matang. Tutup kukusan dilapisi serbet agar air tidak menetes.--Setelah matang tunggu hingga dingin.--Setelah dingin potong2. Siapkan bahan pelapis. Celupkan ke telur lalu ke tepung roti lakukan sampai habis. Nugget bisa langsung digoreng atau disimpan di frezzer. Sebaiknya menyimpan nugget tidak ditumpuk apabila ditumpuk alasi dengan kertas minyak/kertas roti agar tidak lengket.--Goreng di api sedang. Lakukan satu balikan bila satu sisi sudah kering. Agar tidak menyerap banyak minyak.--Sajikan hangat dengan saus sambal😄. Lebih enak lagi bila ditambah keju dan kornet😍. Next time dicoba pakai keduanya😊.--",9,/id/resep/4448501-nugget-tahu-ekonomis-anti-gagal
tahu,Tahu Petis musim ujan,"1 sdm petis--2 bh cabe rawit,rajang--2 bwg pth,rajang halus--4 bwg mrh,rajang halus--Secukupnya garam--1/2 sdt maizena,larutkan dg 100 ml air--","Siapkan bahan2--Goreng tahu smp matang..sementara itu kita rajang halus bumbu/diuleg jg boleh..--Siapkan minyak dwajan ±3 sdm,masukkan bumbu & petis,aduk rata. Biarkan smp harum. Lalu masukkan larutan maizena,aduk lg.. Icip smp dpt rasa yg pas.. Sajikan dgn tahu goreng... Sedapp--Drpd beli dluar,mending bkin sndiri yuk,rempong sdkit gpp demi kluarga trsayang..--",9,/id/resep/4472947-tahu-petis-musim-ujan
